,movie,year,imdb,metascore,votes,n_imdb
0,Goodfellas,1990,8.7,89,922673,87.0
1,Edward Scissorhands,1990,7.9,74,419545,79.0
2,Home Alone,1990,7.6,63,411971,76.0
3,Back to the Future Part III,1990,7.4,55,366612,74.0
4,The Godfather Part III,1990,7.6,60,330619,76.0
5,Die Hard 2,1990,7.2,67,316421,72.0
6,Total Recall,1990,7.5,57,281424,75.0
7,Pretty Woman,1990,7.0,51,264719,70.0
8,Dances with Wolves,1990,8.0,72,223542,80.0
9,Ghost,1990,7.0,52,181810,70.0
10,Misery,1990,7.8,75,167336,78.0
11,The Hunt for Red October,1990,7.6,58,166408,76.0
12,Predator 2,1990,6.3,46,135979,63.0
13,Kindergarten Cop,1990,6.1,61,127077,61.0
14,Miller's Crossing,1990,7.8,66,119348,78.0
15,Rocky V,1990,5.3,55,118306,53.0
16,Awakenings,1990,7.8,74,113603,78.0
17,Tremors,1990,7.1,65,109719,71.0
18,Jacob's Ladder,1990,7.5,62,91887,75.0
19,Teenage Mutant Ninja Turtles,1990,6.8,51,79400,68.0
20,RoboCop 2,1990,5.8,42,76718,58.0
21,Wild at Heart,1990,7.2,52,75948,72.0
22,Flatliners,1990,6.6,55,75777,66.0
23,Days of Thunder,1990,6.0,60,73276,60.0
24,Nikita,1990,7.3,56,63547,73.0
25,Arachnophobia,1990,6.4,67,59074,64.0
26,Darkman,1990,6.4,65,54856,64.0
27,Child's Play 2,1990,5.8,37,41281,58.0
28,Bird on a Wire,1990,6.0,36,37212,60.0
29,Night of the Living Dead,1990,6.9,54,36320,69.0
30,Another 48 Hrs.,1990,5.9,23,35927,59.0
31,Presumed Innocent,1990,6.9,72,34948,69.0
32,The Rescuers Down Under,1990,6.9,70,34690,69.0
33,Joe Versus the Volcano,1990,5.8,45,32324,58.0
34,Lionheart,1990,6.2,41,30354,62.0
35,Young Guns II,1990,6.5,47,28854,65.0
36,King of New York,1990,7.0,66,28171,70.0
37,Goodfellas,1990,8.7,89,922673,87.0
38,Edward Scissorhands,1990,7.9,74,419545,79.0
39,Home Alone,1990,7.6,63,411971,76.0
40,Back to the Future Part III,1990,7.4,55,366612,74.0
41,The Godfather Part III,1990,7.6,60,330619,76.0
42,Die Hard 2,1990,7.2,67,316421,72.0
43,Total Recall,1990,7.5,57,281424,75.0
44,Pretty Woman,1990,7.0,51,264719,70.0
45,Dances with Wolves,1990,8.0,72,223542,80.0
46,Ghost,1990,7.0,52,181810,70.0
47,Misery,1990,7.8,75,167336,78.0
48,The Hunt for Red October,1990,7.6,58,166408,76.0
49,Predator 2,1990,6.3,46,135979,63.0
50,Kindergarten Cop,1990,6.1,61,127077,61.0
51,Miller's Crossing,1990,7.8,66,119348,78.0
52,Rocky V,1990,5.3,55,118306,53.0
53,Awakenings,1990,7.8,74,113603,78.0
54,Tremors,1990,7.1,65,109719,71.0
55,Jacob's Ladder,1990,7.5,62,91887,75.0
56,Teenage Mutant Ninja Turtles,1990,6.8,51,79400,68.0
57,RoboCop 2,1990,5.8,42,76718,58.0
58,Wild at Heart,1990,7.2,52,75948,72.0
59,Flatliners,1990,6.6,55,75777,66.0
60,Days of Thunder,1990,6.0,60,73276,60.0
61,Nikita,1990,7.3,56,63547,73.0
62,Arachnophobia,1990,6.4,67,59074,64.0
63,Darkman,1990,6.4,65,54856,64.0
64,Child's Play 2,1990,5.8,37,41281,58.0
65,Bird on a Wire,1990,6.0,36,37212,60.0
66,Night of the Living Dead,1990,6.9,54,36320,69.0
67,Another 48 Hrs.,1990,5.9,23,35927,59.0
68,Presumed Innocent,1990,6.9,72,34948,69.0
69,The Rescuers Down Under,1990,6.9,70,34690,69.0
70,Joe Versus the Volcano,1990,5.8,45,32324,58.0
71,Lionheart,1990,6.2,41,30354,62.0
72,Young Guns II,1990,6.5,47,28854,65.0
73,King of New York,1990,7.0,66,28171,70.0
74,Goodfellas,1990,8.7,89,922673,87.0
75,Edward Scissorhands,1990,7.9,74,419545,79.0
76,Home Alone,1990,7.6,63,411971,76.0
77,Back to the Future Part III,1990,7.4,55,366612,74.0
78,The Godfather Part III,1990,7.6,60,330619,76.0
79,Die Hard 2,1990,7.2,67,316421,72.0
80,Total Recall,1990,7.5,57,281424,75.0
81,Pretty Woman,1990,7.0,51,264719,70.0
82,Dances with Wolves,1990,8.0,72,223542,80.0
83,Ghost,1990,7.0,52,181810,70.0
84,Misery,1990,7.8,75,167336,78.0
85,The Hunt for Red October,1990,7.6,58,166408,76.0
86,Predator 2,1990,6.3,46,135979,63.0
87,Kindergarten Cop,1990,6.1,61,127077,61.0
88,Miller's Crossing,1990,7.8,66,119348,78.0
89,Rocky V,1990,5.3,55,118306,53.0
90,Awakenings,1990,7.8,74,113603,78.0
91,Tremors,1990,7.1,65,109719,71.0
92,Jacob's Ladder,1990,7.5,62,91887,75.0
93,Teenage Mutant Ninja Turtles,1990,6.8,51,79400,68.0
94,RoboCop 2,1990,5.8,42,76718,58.0
95,Wild at Heart,1990,7.2,52,75948,72.0
96,Flatliners,1990,6.6,55,75777,66.0
97,Days of Thunder,1990,6.0,60,73276,60.0
98,Nikita,1990,7.3,56,63547,73.0
99,Arachnophobia,1990,6.4,67,59074,64.0
100,Darkman,1990,6.4,65,54856,64.0
101,Child's Play 2,1990,5.8,37,41281,58.0
102,Bird on a Wire,1990,6.0,36,37212,60.0
103,Night of the Living Dead,1990,6.9,54,36320,69.0
104,Another 48 Hrs.,1990,5.9,23,35927,59.0
105,Presumed Innocent,1990,6.9,72,34948,69.0
106,The Rescuers Down Under,1990,6.9,70,34690,69.0
107,Joe Versus the Volcano,1990,5.8,45,32324,58.0
108,Lionheart,1990,6.2,41,30354,62.0
109,Young Guns II,1990,6.5,47,28854,65.0
110,King of New York,1990,7.0,66,28171,70.0
111,Goodfellas,1990,8.7,89,922673,87.0
112,Edward Scissorhands,1990,7.9,74,419545,79.0
113,Home Alone,1990,7.6,63,411971,76.0
114,Back to the Future Part III,1990,7.4,55,366612,74.0
115,The Godfather Part III,1990,7.6,60,330619,76.0
116,Die Hard 2,1990,7.2,67,316421,72.0
117,Total Recall,1990,7.5,57,281424,75.0
118,Pretty Woman,1990,7.0,51,264719,70.0
119,Dances with Wolves,1990,8.0,72,223542,80.0
120,Ghost,1990,7.0,52,181810,70.0
121,Misery,1990,7.8,75,167336,78.0
122,The Hunt for Red October,1990,7.6,58,166408,76.0
123,Predator 2,1990,6.3,46,135979,63.0
124,Kindergarten Cop,1990,6.1,61,127077,61.0
125,Miller's Crossing,1990,7.8,66,119348,78.0
126,Rocky V,1990,5.3,55,118306,53.0
127,Awakenings,1990,7.8,74,113603,78.0
128,Tremors,1990,7.1,65,109719,71.0
129,Jacob's Ladder,1990,7.5,62,91887,75.0
130,Teenage Mutant Ninja Turtles,1990,6.8,51,79400,68.0
131,RoboCop 2,1990,5.8,42,76718,58.0
132,Wild at Heart,1990,7.2,52,75948,72.0
133,Flatliners,1990,6.6,55,75777,66.0
134,Days of Thunder,1990,6.0,60,73276,60.0
135,Nikita,1990,7.3,56,63547,73.0
136,Arachnophobia,1990,6.4,67,59074,64.0
137,Darkman,1990,6.4,65,54856,64.0
138,Child's Play 2,1990,5.8,37,41281,58.0
139,Bird on a Wire,1990,6.0,36,37212,60.0
140,Night of the Living Dead,1990,6.9,54,36320,69.0
141,Another 48 Hrs.,1990,5.9,23,35927,59.0
142,Presumed Innocent,1990,6.9,72,34948,69.0
143,The Rescuers Down Under,1990,6.9,70,34690,69.0
144,Joe Versus the Volcano,1990,5.8,45,32324,58.0
145,Lionheart,1990,6.2,41,30354,62.0
146,Young Guns II,1990,6.5,47,28854,65.0
147,King of New York,1990,7.0,66,28171,70.0
148,Goodfellas,1990,8.7,89,922673,87.0
149,Edward Scissorhands,1990,7.9,74,419545,79.0
150,Home Alone,1990,7.6,63,411971,76.0
151,Back to the Future Part III,1990,7.4,55,366612,74.0
152,The Godfather Part III,1990,7.6,60,330619,76.0
153,Die Hard 2,1990,7.2,67,316421,72.0
154,Total Recall,1990,7.5,57,281424,75.0
155,Pretty Woman,1990,7.0,51,264719,70.0
156,Dances with Wolves,1990,8.0,72,223542,80.0
157,Ghost,1990,7.0,52,181810,70.0
158,Misery,1990,7.8,75,167336,78.0
159,The Hunt for Red October,1990,7.6,58,166408,76.0
160,Predator 2,1990,6.3,46,135979,63.0
161,Kindergarten Cop,1990,6.1,61,127077,61.0
162,Miller's Crossing,1990,7.8,66,119348,78.0
163,Rocky V,1990,5.3,55,118306,53.0
164,Awakenings,1990,7.8,74,113603,78.0
165,Tremors,1990,7.1,65,109719,71.0
166,Jacob's Ladder,1990,7.5,62,91887,75.0
167,Teenage Mutant Ninja Turtles,1990,6.8,51,79400,68.0
168,RoboCop 2,1990,5.8,42,76718,58.0
169,Wild at Heart,1990,7.2,52,75948,72.0
170,Flatliners,1990,6.6,55,75777,66.0
171,Days of Thunder,1990,6.0,60,73276,60.0
172,Nikita,1990,7.3,56,63547,73.0
173,Arachnophobia,1990,6.4,67,59074,64.0
174,Darkman,1990,6.4,65,54856,64.0
175,Child's Play 2,1990,5.8,37,41281,58.0
176,Bird on a Wire,1990,6.0,36,37212,60.0
177,Night of the Living Dead,1990,6.9,54,36320,69.0
178,Another 48 Hrs.,1990,5.9,23,35927,59.0
179,Presumed Innocent,1990,6.9,72,34948,69.0
180,The Rescuers Down Under,1990,6.9,70,34690,69.0
181,Joe Versus the Volcano,1990,5.8,45,32324,58.0
182,Lionheart,1990,6.2,41,30354,62.0
183,Young Guns II,1990,6.5,47,28854,65.0
184,King of New York,1990,7.0,66,28171,70.0
185,Goodfellas,1990,8.7,89,922673,87.0
186,Edward Scissorhands,1990,7.9,74,419545,79.0
187,Home Alone,1990,7.6,63,411971,76.0
188,Back to the Future Part III,1990,7.4,55,366612,74.0
189,The Godfather Part III,1990,7.6,60,330619,76.0
190,Die Hard 2,1990,7.2,67,316421,72.0
191,Total Recall,1990,7.5,57,281424,75.0
192,Pretty Woman,1990,7.0,51,264719,70.0
193,Dances with Wolves,1990,8.0,72,223542,80.0
194,Ghost,1990,7.0,52,181810,70.0
195,Misery,1990,7.8,75,167336,78.0
196,The Hunt for Red October,1990,7.6,58,166408,76.0
197,Predator 2,1990,6.3,46,135979,63.0
198,Kindergarten Cop,1990,6.1,61,127077,61.0
199,Miller's Crossing,1990,7.8,66,119348,78.0
200,Rocky V,1990,5.3,55,118306,53.0
201,Awakenings,1990,7.8,74,113603,78.0
202,Tremors,1990,7.1,65,109719,71.0
203,Jacob's Ladder,1990,7.5,62,91887,75.0
204,Teenage Mutant Ninja Turtles,1990,6.8,51,79400,68.0
205,RoboCop 2,1990,5.8,42,76718,58.0
206,Wild at Heart,1990,7.2,52,75948,72.0
207,Flatliners,1990,6.6,55,75777,66.0
208,Days of Thunder,1990,6.0,60,73276,60.0
209,Nikita,1990,7.3,56,63547,73.0
210,Arachnophobia,1990,6.4,67,59074,64.0
211,Darkman,1990,6.4,65,54856,64.0
212,Child's Play 2,1990,5.8,37,41281,58.0
213,Bird on a Wire,1990,6.0,36,37212,60.0
214,Night of the Living Dead,1990,6.9,54,36320,69.0
215,Another 48 Hrs.,1990,5.9,23,35927,59.0
216,Presumed Innocent,1990,6.9,72,34948,69.0
217,The Rescuers Down Under,1990,6.9,70,34690,69.0
218,Joe Versus the Volcano,1990,5.8,45,32324,58.0
219,Lionheart,1990,6.2,41,30354,62.0
220,Young Guns II,1990,6.5,47,28854,65.0
221,King of New York,1990,7.0,66,28171,70.0
222,Goodfellas,1990,8.7,89,922673,87.0
223,Edward Scissorhands,1990,7.9,74,419545,79.0
224,Home Alone,1990,7.6,63,411971,76.0
225,Back to the Future Part III,1990,7.4,55,366612,74.0
226,The Godfather Part III,1990,7.6,60,330619,76.0
227,Die Hard 2,1990,7.2,67,316421,72.0
228,Total Recall,1990,7.5,57,281424,75.0
229,Pretty Woman,1990,7.0,51,264719,70.0
230,Dances with Wolves,1990,8.0,72,223542,80.0
231,Ghost,1990,7.0,52,181810,70.0
232,Misery,1990,7.8,75,167336,78.0
233,The Hunt for Red October,1990,7.6,58,166408,76.0
234,Predator 2,1990,6.3,46,135979,63.0
235,Kindergarten Cop,1990,6.1,61,127077,61.0
236,Miller's Crossing,1990,7.8,66,119348,78.0
237,Rocky V,1990,5.3,55,118306,53.0
238,Awakenings,1990,7.8,74,113603,78.0
239,Tremors,1990,7.1,65,109719,71.0
240,Jacob's Ladder,1990,7.5,62,91887,75.0
241,Teenage Mutant Ninja Turtles,1990,6.8,51,79400,68.0
242,RoboCop 2,1990,5.8,42,76718,58.0
243,Wild at Heart,1990,7.2,52,75948,72.0
244,Flatliners,1990,6.6,55,75777,66.0
245,Days of Thunder,1990,6.0,60,73276,60.0
246,Nikita,1990,7.3,56,63547,73.0
247,Arachnophobia,1990,6.4,67,59074,64.0
248,Darkman,1990,6.4,65,54856,64.0
249,Child's Play 2,1990,5.8,37,41281,58.0
250,Bird on a Wire,1990,6.0,36,37212,60.0
251,Night of the Living Dead,1990,6.9,54,36320,69.0
252,Another 48 Hrs.,1990,5.9,23,35927,59.0
253,Presumed Innocent,1990,6.9,72,34948,69.0
254,The Rescuers Down Under,1990,6.9,70,34690,69.0
255,Joe Versus the Volcano,1990,5.8,45,32324,58.0
256,Lionheart,1990,6.2,41,30354,62.0
257,Young Guns II,1990,6.5,47,28854,65.0
258,King of New York,1990,7.0,66,28171,70.0
259,Goodfellas,1990,8.7,89,922673,87.0
260,Edward Scissorhands,1990,7.9,74,419545,79.0
261,Home Alone,1990,7.6,63,411971,76.0
262,Back to the Future Part III,1990,7.4,55,366612,74.0
263,The Godfather Part III,1990,7.6,60,330619,76.0
264,Die Hard 2,1990,7.2,67,316421,72.0
265,Total Recall,1990,7.5,57,281424,75.0
266,Pretty Woman,1990,7.0,51,264719,70.0
267,Dances with Wolves,1990,8.0,72,223542,80.0
268,Ghost,1990,7.0,52,181810,70.0
269,Misery,1990,7.8,75,167336,78.0
270,The Hunt for Red October,1990,7.6,58,166408,76.0
271,Predator 2,1990,6.3,46,135979,63.0
272,Kindergarten Cop,1990,6.1,61,127077,61.0
273,Miller's Crossing,1990,7.8,66,119348,78.0
274,Rocky V,1990,5.3,55,118306,53.0
275,Awakenings,1990,7.8,74,113603,78.0
276,Tremors,1990,7.1,65,109719,71.0
277,Jacob's Ladder,1990,7.5,62,91887,75.0
278,Teenage Mutant Ninja Turtles,1990,6.8,51,79400,68.0
279,RoboCop 2,1990,5.8,42,76718,58.0
280,Wild at Heart,1990,7.2,52,75948,72.0
281,Flatliners,1990,6.6,55,75777,66.0
282,Days of Thunder,1990,6.0,60,73276,60.0
283,Nikita,1990,7.3,56,63547,73.0
284,Arachnophobia,1990,6.4,67,59074,64.0
285,Darkman,1990,6.4,65,54856,64.0
286,Child's Play 2,1990,5.8,37,41281,58.0
287,Bird on a Wire,1990,6.0,36,37212,60.0
288,Night of the Living Dead,1990,6.9,54,36320,69.0
289,Another 48 Hrs.,1990,5.9,23,35927,59.0
290,Presumed Innocent,1990,6.9,72,34948,69.0
291,The Rescuers Down Under,1990,6.9,70,34690,69.0
292,Joe Versus the Volcano,1990,5.8,45,32324,58.0
293,Lionheart,1990,6.2,41,30354,62.0
294,Young Guns II,1990,6.5,47,28854,65.0
295,King of New York,1990,7.0,66,28171,70.0
296,Goodfellas,1990,8.7,89,922673,87.0
297,Edward Scissorhands,1990,7.9,74,419545,79.0
298,Home Alone,1990,7.6,63,411971,76.0
299,Back to the Future Part III,1990,7.4,55,366612,74.0
300,The Godfather Part III,1990,7.6,60,330619,76.0
301,Die Hard 2,1990,7.2,67,316421,72.0
302,Total Recall,1990,7.5,57,281424,75.0
303,Pretty Woman,1990,7.0,51,264719,70.0
304,Dances with Wolves,1990,8.0,72,223542,80.0
305,Ghost,1990,7.0,52,181810,70.0
306,Misery,1990,7.8,75,167336,78.0
307,The Hunt for Red October,1990,7.6,58,166408,76.0
308,Predator 2,1990,6.3,46,135979,63.0
309,Kindergarten Cop,1990,6.1,61,127077,61.0
310,Miller's Crossing,1990,7.8,66,119348,78.0
311,Rocky V,1990,5.3,55,118306,53.0
312,Awakenings,1990,7.8,74,113603,78.0
313,Tremors,1990,7.1,65,109719,71.0
314,Jacob's Ladder,1990,7.5,62,91887,75.0
315,Teenage Mutant Ninja Turtles,1990,6.8,51,79400,68.0
316,RoboCop 2,1990,5.8,42,76718,58.0
317,Wild at Heart,1990,7.2,52,75948,72.0
318,Flatliners,1990,6.6,55,75777,66.0
319,Days of Thunder,1990,6.0,60,73276,60.0
320,Nikita,1990,7.3,56,63547,73.0
321,Arachnophobia,1990,6.4,67,59074,64.0
322,Darkman,1990,6.4,65,54856,64.0
323,Child's Play 2,1990,5.8,37,41281,58.0
324,Bird on a Wire,1990,6.0,36,37212,60.0
325,Night of the Living Dead,1990,6.9,54,36320,69.0
326,Another 48 Hrs.,1990,5.9,23,35927,59.0
327,Presumed Innocent,1990,6.9,72,34948,69.0
328,The Rescuers Down Under,1990,6.9,70,34690,69.0
329,Joe Versus the Volcano,1990,5.8,45,32324,58.0
330,Lionheart,1990,6.2,41,30354,62.0
331,Young Guns II,1990,6.5,47,28854,65.0
332,King of New York,1990,7.0,66,28171,70.0
333,The Silence of the Lambs,1991,8.6,85,1156391,86.0
334,Terminator 2: Judgment Day,1991,8.5,75,922795,85.0
335,Beauty and the Beast,1991,8.0,95,395722,80.0
336,Hook,1991,6.8,52,216985,68.0
337,Robin Hood: Prince of Thieves,1991,6.9,51,168140,69.0
338,Cape Fear,1991,7.3,73,156116,73.0
339,Point Break,1991,7.3,58,142433,73.0
340,JFK,1991,8.0,72,132273,80.0
341,Thelma & Louise,1991,7.4,88,124106,74.0
342,The Addams Family,1991,6.9,57,116907,69.0
343,Boyz n the Hood,1991,7.7,76,114204,77.0
344,Barton Fink,1991,7.7,69,105625,77.0
345,The Naked Gun 2½: The Smell of Fear,1991,6.9,65,97739,69.0
346,Hot Shots!,1991,6.8,61,92865,68.0
347,The Last Boy Scout,1991,7.0,52,87307,70.0
348,The Doors,1991,7.2,62,78875,72.0
349,Delicatessen,1991,7.6,66,75711,76.0
350,The Fisher King,1991,7.5,61,74346,75.0
351,Backdraft,1991,6.7,38,67217,67.0
352,My Girl,1991,6.9,56,66892,69.0
353,Star Trek VI: The Undiscovered Country,1991,7.2,65,65754,72.0
354,Father of the Bride,1991,6.5,51,64045,65.0
355,Fried Green Tomatoes,1991,7.7,64,62121,77.0
356,Bill & Ted's Bogus Journey,1991,6.3,60,58857,63.0
357,What About Bob?,1991,7.0,60,58538,70.0
358,Night on Earth,1991,7.8,68,50872,78.0
359,The Rocketeer,1991,6.4,61,49175,64.0
360,Hudson Hawk,1991,5.8,17,49168,58.0
361,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,6.0,45,48336,60.0
362,Sleeping with the Enemy,1991,6.2,48,46165,62.0
363,My Own Private Idaho,1991,7.1,77,45491,71.0
364,City Slickers,1991,6.7,70,44987,67.0
365,Naked Lunch,1991,7.1,67,43309,71.0
366,Highlander II: The Quickening,1991,4.3,31,41569,43.0
367,Freddy's Dead: The Final Nightmare,1991,4.9,39,38206,49.0
368,La double vie de Véronique,1991,7.8,86,37144,78.0
369,Child's Play 3,1991,5.1,27,33021,51.0
370,Doc Hollywood,1991,6.2,56,30854,62.0
371,The Commitments,1991,7.6,73,30182,76.0
372,New Jack City,1991,6.7,61,29112,67.0
373,L.A. Story,1991,6.7,66,28047,67.0
374,Regarding Henry,1991,6.7,47,27663,67.0
375,Frankie and Johnny,1991,6.7,66,26762,67.0
376,Don't Tell Mom the Babysitter's Dead,1991,6.2,35,25613,62.0
377,The Silence of the Lambs,1991,8.6,85,1156391,86.0
378,Terminator 2: Judgment Day,1991,8.5,75,922795,85.0
379,Beauty and the Beast,1991,8.0,95,395722,80.0
380,Hook,1991,6.8,52,216985,68.0
381,Robin Hood: Prince of Thieves,1991,6.9,51,168140,69.0
382,Cape Fear,1991,7.3,73,156116,73.0
383,Point Break,1991,7.3,58,142433,73.0
384,JFK,1991,8.0,72,132273,80.0
385,Thelma & Louise,1991,7.4,88,124106,74.0
386,The Addams Family,1991,6.9,57,116907,69.0
387,Boyz n the Hood,1991,7.7,76,114204,77.0
388,Barton Fink,1991,7.7,69,105625,77.0
389,The Naked Gun 2½: The Smell of Fear,1991,6.9,65,97739,69.0
390,Hot Shots!,1991,6.8,61,92865,68.0
391,The Last Boy Scout,1991,7.0,52,87307,70.0
392,The Doors,1991,7.2,62,78875,72.0
393,Delicatessen,1991,7.6,66,75711,76.0
394,The Fisher King,1991,7.5,61,74346,75.0
395,Backdraft,1991,6.7,38,67217,67.0
396,My Girl,1991,6.9,56,66892,69.0
397,Star Trek VI: The Undiscovered Country,1991,7.2,65,65754,72.0
398,Father of the Bride,1991,6.5,51,64045,65.0
399,Fried Green Tomatoes,1991,7.7,64,62121,77.0
400,Bill & Ted's Bogus Journey,1991,6.3,60,58857,63.0
401,What About Bob?,1991,7.0,60,58538,70.0
402,Night on Earth,1991,7.8,68,50872,78.0
403,The Rocketeer,1991,6.4,61,49175,64.0
404,Hudson Hawk,1991,5.8,17,49168,58.0
405,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,6.0,45,48336,60.0
406,Sleeping with the Enemy,1991,6.2,48,46165,62.0
407,My Own Private Idaho,1991,7.1,77,45491,71.0
408,City Slickers,1991,6.7,70,44987,67.0
409,Naked Lunch,1991,7.1,67,43309,71.0
410,Highlander II: The Quickening,1991,4.3,31,41569,43.0
411,Freddy's Dead: The Final Nightmare,1991,4.9,39,38206,49.0
412,La double vie de Véronique,1991,7.8,86,37144,78.0
413,Child's Play 3,1991,5.1,27,33021,51.0
414,Doc Hollywood,1991,6.2,56,30854,62.0
415,The Commitments,1991,7.6,73,30182,76.0
416,New Jack City,1991,6.7,61,29112,67.0
417,L.A. Story,1991,6.7,66,28047,67.0
418,Regarding Henry,1991,6.7,47,27663,67.0
419,Frankie and Johnny,1991,6.7,66,26762,67.0
420,Don't Tell Mom the Babysitter's Dead,1991,6.2,35,25613,62.0
421,The Silence of the Lambs,1991,8.6,85,1156391,86.0
422,Terminator 2: Judgment Day,1991,8.5,75,922795,85.0
423,Beauty and the Beast,1991,8.0,95,395722,80.0
424,Hook,1991,6.8,52,216985,68.0
425,Robin Hood: Prince of Thieves,1991,6.9,51,168140,69.0
426,Cape Fear,1991,7.3,73,156116,73.0
427,Point Break,1991,7.3,58,142433,73.0
428,JFK,1991,8.0,72,132273,80.0
429,Thelma & Louise,1991,7.4,88,124106,74.0
430,The Addams Family,1991,6.9,57,116907,69.0
431,Boyz n the Hood,1991,7.7,76,114204,77.0
432,Barton Fink,1991,7.7,69,105625,77.0
433,The Naked Gun 2½: The Smell of Fear,1991,6.9,65,97739,69.0
434,Hot Shots!,1991,6.8,61,92865,68.0
435,The Last Boy Scout,1991,7.0,52,87307,70.0
436,The Doors,1991,7.2,62,78875,72.0
437,Delicatessen,1991,7.6,66,75711,76.0
438,The Fisher King,1991,7.5,61,74346,75.0
439,Backdraft,1991,6.7,38,67217,67.0
440,My Girl,1991,6.9,56,66892,69.0
441,Star Trek VI: The Undiscovered Country,1991,7.2,65,65754,72.0
442,Father of the Bride,1991,6.5,51,64045,65.0
443,Fried Green Tomatoes,1991,7.7,64,62121,77.0
444,Bill & Ted's Bogus Journey,1991,6.3,60,58857,63.0
445,What About Bob?,1991,7.0,60,58538,70.0
446,Night on Earth,1991,7.8,68,50872,78.0
447,The Rocketeer,1991,6.4,61,49175,64.0
448,Hudson Hawk,1991,5.8,17,49168,58.0
449,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,6.0,45,48336,60.0
450,Sleeping with the Enemy,1991,6.2,48,46165,62.0
451,My Own Private Idaho,1991,7.1,77,45491,71.0
452,City Slickers,1991,6.7,70,44987,67.0
453,Naked Lunch,1991,7.1,67,43309,71.0
454,Highlander II: The Quickening,1991,4.3,31,41569,43.0
455,Freddy's Dead: The Final Nightmare,1991,4.9,39,38206,49.0
456,La double vie de Véronique,1991,7.8,86,37144,78.0
457,Child's Play 3,1991,5.1,27,33021,51.0
458,Doc Hollywood,1991,6.2,56,30854,62.0
459,The Commitments,1991,7.6,73,30182,76.0
460,New Jack City,1991,6.7,61,29112,67.0
461,L.A. Story,1991,6.7,66,28047,67.0
462,Regarding Henry,1991,6.7,47,27663,67.0
463,Frankie and Johnny,1991,6.7,66,26762,67.0
464,Don't Tell Mom the Babysitter's Dead,1991,6.2,35,25613,62.0
465,The Silence of the Lambs,1991,8.6,85,1156391,86.0
466,Terminator 2: Judgment Day,1991,8.5,75,922795,85.0
467,Beauty and the Beast,1991,8.0,95,395722,80.0
468,Hook,1991,6.8,52,216985,68.0
469,Robin Hood: Prince of Thieves,1991,6.9,51,168140,69.0
470,Cape Fear,1991,7.3,73,156116,73.0
471,Point Break,1991,7.3,58,142433,73.0
472,JFK,1991,8.0,72,132273,80.0
473,Thelma & Louise,1991,7.4,88,124106,74.0
474,The Addams Family,1991,6.9,57,116907,69.0
475,Boyz n the Hood,1991,7.7,76,114204,77.0
476,Barton Fink,1991,7.7,69,105625,77.0
477,The Naked Gun 2½: The Smell of Fear,1991,6.9,65,97739,69.0
478,Hot Shots!,1991,6.8,61,92865,68.0
479,The Last Boy Scout,1991,7.0,52,87307,70.0
480,The Doors,1991,7.2,62,78875,72.0
481,Delicatessen,1991,7.6,66,75711,76.0
482,The Fisher King,1991,7.5,61,74346,75.0
483,Backdraft,1991,6.7,38,67217,67.0
484,My Girl,1991,6.9,56,66892,69.0
485,Star Trek VI: The Undiscovered Country,1991,7.2,65,65754,72.0
486,Father of the Bride,1991,6.5,51,64045,65.0
487,Fried Green Tomatoes,1991,7.7,64,62121,77.0
488,Bill & Ted's Bogus Journey,1991,6.3,60,58857,63.0
489,What About Bob?,1991,7.0,60,58538,70.0
490,Night on Earth,1991,7.8,68,50872,78.0
491,The Rocketeer,1991,6.4,61,49175,64.0
492,Hudson Hawk,1991,5.8,17,49168,58.0
493,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,6.0,45,48336,60.0
494,Sleeping with the Enemy,1991,6.2,48,46165,62.0
495,My Own Private Idaho,1991,7.1,77,45491,71.0
496,City Slickers,1991,6.7,70,44987,67.0
497,Naked Lunch,1991,7.1,67,43309,71.0
498,Highlander II: The Quickening,1991,4.3,31,41569,43.0
499,Freddy's Dead: The Final Nightmare,1991,4.9,39,38206,49.0
500,La double vie de Véronique,1991,7.8,86,37144,78.0
501,Child's Play 3,1991,5.1,27,33021,51.0
502,Doc Hollywood,1991,6.2,56,30854,62.0
503,The Commitments,1991,7.6,73,30182,76.0
504,New Jack City,1991,6.7,61,29112,67.0
505,L.A. Story,1991,6.7,66,28047,67.0
506,Regarding Henry,1991,6.7,47,27663,67.0
507,Frankie and Johnny,1991,6.7,66,26762,67.0
508,Don't Tell Mom the Babysitter's Dead,1991,6.2,35,25613,62.0
509,The Silence of the Lambs,1991,8.6,85,1156391,86.0
510,Terminator 2: Judgment Day,1991,8.5,75,922795,85.0
511,Beauty and the Beast,1991,8.0,95,395722,80.0
512,Hook,1991,6.8,52,216985,68.0
513,Robin Hood: Prince of Thieves,1991,6.9,51,168140,69.0
514,Cape Fear,1991,7.3,73,156116,73.0
515,Point Break,1991,7.3,58,142433,73.0
516,JFK,1991,8.0,72,132273,80.0
517,Thelma & Louise,1991,7.4,88,124106,74.0
518,The Addams Family,1991,6.9,57,116907,69.0
519,Boyz n the Hood,1991,7.7,76,114204,77.0
520,Barton Fink,1991,7.7,69,105625,77.0
521,The Naked Gun 2½: The Smell of Fear,1991,6.9,65,97739,69.0
522,Hot Shots!,1991,6.8,61,92865,68.0
